dropout1,dropout2,l1_units,l2_units,regularizer_vals,epochs,val_error,val_acc,train_error,train_acc,batch_size
0.2,0.5,320,32,0.01,50.0,0.481338220981904,0.89506173,0.2635339059545329,0.9993065,1024
0.2,0.0,1024,64,0.001,100.0,0.3119082062700648,0.90123457,0.07677216767934092,0.9993065,1024
0.5,0.2,320,320,0.01,100.0,0.5175927113971592,0.88271606,0.2470523335566633,0.9993065,1024
0.2,0.0,32,1024,0.0,100.0,0.5010975658157711,0.90123457,0.0010144390804244607,0.9993065,1024
0.5,0.0,1024,64,0.0,20.0,0.28236550392700144,0.91358024,0.0022234211211776085,0.9993065,1024
0.0,0.2,32,32,0.0,100.0,0.3315775232550538,0.9197531,0.0016563454568749776,0.9993065,1024
0.2,0.2,1024,32,0.01,100.0,0.3779500159952376,0.90123457,0.16037221856404935,0.9993065,1024
0.5,0.2,32,320,0.0,100.0,0.5054349310604143,0.9259259,0.0009809005945454867,0.9993065,1024
0.2,0.5,64,32,0.0,20.0,0.2622694883073025,0.9074074,0.007564437724830745,0.9993065,1024
0.5,0.2,1024,1024,0.0,20.0,0.33729656537372177,0.9197531,0.004839741835567186,0.99861306,1024
0.0,0.2,1024,32,0.0,50.0,0.33685739393587466,0.9382716,0.0010339525073461886,0.9993065,1024
0.2,0.2,1024,320,0.001,50.0,0.5152903489860488,0.90123457,0.2534648458603847,0.99861306,1024
0.5,0.0,64,320,0.01,100.0,0.7543410982614682,0.9382716,0.5723955341913167,0.9944522,256
0.5,0.5,320,320,0.01,100.0,0.7789064859166558,0.93209875,0.6368268358723962,0.9965326,256
0.0,0.5,320,64,0.0,20.0,0.2155385790047822,0.93209875,0.002321951550538224,0.99861306,128
0.0,0.5,32,320,0.0,50.0,0.18546519267522252,0.95679015,0.0014109999921677677,0.9993065,128
0.0,0.0,32,32,0.001,50.0,0.24255027794451625,0.9197531,0.027415601154285558,0.9993065,128
0.2,0.0,320,320,0.0,20.0,0.14133842197465307,0.9444444,0.0014469189174012732,0.9993065,256
0.5,0.2,32,64,0.001,50.0,0.5673248175485635,0.9444444,0.39634503789979775,0.99861306,128
0.0,0.0,64,32,0.01,20.0,1.3435514687020105,0.86419755,1.111330043095656,0.9556171999999998,32
0.0,0.0,320,320,0.001,50.0,0.8856377226335032,0.91358024,0.6524521942442896,0.97503465,32
0.5,0.5,32,320,0.0,20.0,0.14768986937440473,0.9506173,0.002392870388959148,0.99861306,128
0.5,0.2,32,32,0.001,50.0,0.5256225963433584,0.9444444,0.3221774452188971,0.99861306,256
0.0,0.5,32,32,0.0,100.0,0.3787332699622637,0.9382716,0.001438797005046446,0.9993065,256
0.0,0.5,32,32,0.01,50.0,0.4705077409744263,0.93209875,0.2896308553780993,0.99861306,256
0.5,0.0,64,64,0.01,100.0,0.7420822080270744,0.93209875,0.5924916770851728,0.9937587,256
0.0,0.2,32,320,0.0,100.0,0.29056618537431883,0.9506173,0.0013299410472267352,0.9993065,128
0.5,0.2,64,64,0.0,50.0,0.17945620307215934,0.9444444,0.0019220036321999949,0.99861306,128
0.5,0.2,64,32,0.01,100.0,1.0458168225523867,0.9259259,0.9246898449740364,0.9965326,128
0.5,0.2,32,32,0.001,20.0,0.3558111240466436,0.9506173,0.18266667386364507,0.99861306,256
0.0,0.5,32,320,0.01,100.0,0.39452689665335205,0.9074074,0.17435888611245254,0.9923717,256
0.5,0.2,320,320,0.01,100.0,1.2400011354022555,0.9074074,1.079954709325518,0.9965326,128
0.2,0.0,64,32,0.001,20.0,0.249322108372494,0.9382716,0.0683996550914484,0.99861306,256
0.5,0.0,64,64,0.0,50.0,0.471626658498505,0.9506173,0.0019346766743906195,0.99861306,32
0.2,0.2,64,320,0.01,50.0,0.6001743608050876,0.9506173,0.4903271664114832,0.99167824,32
0.0,0.2,64,64,0.01,20.0,0.5824347079536061,0.89506173,0.3669070209196966,0.9882108,32
0.5,0.0,32,64,0.01,100.0,1.3347154737990579,0.9197531,1.1624092920147264,0.9923717,128
0.2,0.2,64,32,0.001,100.0,0.3758607731189257,0.9382716,0.2086086285593771,0.9965326,32
0.5,0.5,64,32,0.01,50.0,1.3542294443389515,0.9074074,1.2078831311568474,0.98613036,32
0.0,0.5,64,320,0.001,20.0,0.6220080723733078,0.9074074,0.3074607353517981,0.9882108,128
0.0,0.0,32,32,0.0,50.0,0.2091121371881461,0.9444444,0.0010584597913825386,0.9993065,128
0.0,0.5,320,64,0.0,50.0,0.3893592887454563,0.9444444,0.00165581082200977,0.99861306,128
